鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,latitude,longitude,郵遞區號6碼,土地位置建物門牌,distance(警察局)(km),附近1km是否有警察局,distance(捷運站)(km),附近1km是否有捷運站,distance(超商&超市)(km),附近1km是否有超商&超市,distance(寺廟)(km),附近1km是否有寺廟,distance(臺北市殯儀館)(km),附近1km是否有殯儀館,distance(醫院)(km),附近1km是否有醫院,路名
中山區,房地(土地+建物),25.0,土地1建物1車位0,四層,四層,2,住家用,鋼筋混凝土造,70.0,2,1,1,有,無,10000000,,0.0,0,,61.2,0.0,8.8,0,台北市,104,2017,11,13,21.175,472255.0177095632,1976,4,22,41,0,25.067681,121.540852,104060.0,臺北市中山區龍江路４１２巷１號四樓,0.7515836436402907,1,0.8282038032025687,1,0.2373013039568087,1,0.2648309152926842,1,0.9077928296762436,1,1.163178810196092,0,龍江路
中山區,房地(土地+建物),7.16,土地1建物1車位0,七層,十四層,1,住家用,鋼筋混凝土造,71.8,2,2,1,有,有,13880000,,0.0,0,,44.29,0.0,7.73,1,台北市,104,2017,10,23,21.7195,639057.0685328852,1988,6,13,29,0,25.046292,121.531277,104609.0,臺北市中山區新生北路一段４８號7樓,0.5086299620980688,1,0.4679206473455892,1,0.1909529782755384,1,0.1944298063358899,1,1.8737377060962448,0,0.5134840130610948,1,新生北路一段
中山區,房地(土地+建物),47.09,土地1建物1車位0,六層,十層,3,住家用,鋼筋混凝土造,155.72,2,2,2,有,有,20500000,,0.0,0,,77.88,0.0,8.1,1,台北市,104,2017,10,16,47.1053,435195.1903501304,2000,6,28,17,0,25.07911,121.559074,104050.0,臺北市中山區敬業三路１６２巷８９號六樓,1.033580621504557,0,0.7192988547596458,1,0.0627583437109357,1,1.002955137464712,0,3.1399438918331883,0,1.6454257001771353,0,敬業三路
中山區,房地(土地+建物),9.87,土地1建物1車位0,四層,九層,3,見其他登記事項,鋼筋混凝土造,56.03,1,1,1,有,無,10500000,,0.0,0,,26.82,2.87,3.54,1,台北市,104,2017,10,2,16.949075,619502.8342254666,2015,12,24,2,0,25.0609228,121.5248878,104015.0,臺北市中山區錦州街２３巷１２號四樓之２,0.3314587162381385,1,0.2111759348349753,1,0.0605005072819949,1,0.3879637277900939,1,0.8914327604108141,1,0.6748500751722909,1,錦州街
中山區,房地(土地+建物),1.72,土地1建物1車位0,三層,十二層,5,住商用,鋼筋混凝土造,21.09,0,0,0,無,有,4300000,,0.0,0,,13.95,0.0,3.1,1,台北市,104,2017,9,26,6.379725,674010.2433882338,1977,11,2,40,0,25.046457,121.532689,104093.0,臺北市中山區松江路８號三樓之１３,0.6395901993962136,1,0.4464794771641414,1,0.0689014848585525,1,0.054753607155335,1,1.844614201010377,0,0.4384122043326233,1,松江路
中山區,房地(土地+建物)+車位,7.4,土地1建物1車位1,十二層,十二層,1,住家用,見其他登記事項,100.92,1,1,1,有,有,17800000,坡道平面,45.39,2250000,,29.95,3.1,2.87,1,台北市,104,2017,10,31,30.5283,583065.549015176,2016,6,2,1,1,25.0566901,121.5266692,104013.0,臺北市中山區新生北路二段６８巷８號１２樓之６,0.2883094861382322,1,0.6258505360131094,1,0.1483774853052853,1,0.5271351189032693,1,0.981882828942927,1,0.7238457979174355,1,新生北路二段
中山區,房地(土地+建物),2.67,土地1建物1車位0,十三層,十三層,5,住家用,鋼筋混凝土造,35.14,0,0,0,無,有,6280000,,0.0,0,,25.74,0.0,0.0,1,台北市,104,2017,9,28,10.62985,590789.1456605691,1981,12,8,36,0,25.046285,121.532707,104093.0,臺北市中山區松江路２號十三樓之５,0.6322531770769647,1,0.4273460288131958,1,0.0545630148635888,1,0.0658485489772492,1,1.8635847546297952,0,0.4562223898145527,1,松江路
中山區,房地(土地+建物)+車位,9.48,土地1建物2車位1,十一層,十二層,1,住家用,鋼筋混凝土造,102.7,2,1,1,有,有,23440000,升降機械,14.05,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,54.15,3.2,0.0,1,台北市,104,2017,10,12,31.06675,754504.41388301,2004,2,11,13,1,25.06657,121.52367,104030.0,臺北市中山區德惠街１０號十一樓之１,0.6829601555983388,1,0.5050697136224588,1,0.0877213928455715,1,0.1503013657457949,1,1.0538856722420398,0,0.9744991592460512,1,德惠街
中山區,房地(土地+建物),6.89,土地1建物1車位0,十層,十四層,1,住家用,見其他登記事項,81.85,0,0,0,無,有,23050000,,0.0,0,,44.23,0.0,5.75,1,台北市,104,2017,10,19,24.759625,930951.094776274,2016,4,11,1,0,25.048218,121.539741,104099.0,臺北市中山區長安東路二段１６６號十樓之５,0.0883262105906248,1,0.6108416411544189,1,0.0756028651160262,1,0.5467135956776803,1,1.7682194004121348,0,0.6289382344301867,1,長安東路二段
中山區,房地(土地+建物)+車位,7.13,土地1建物1車位2,十層,十四層,1,住家用,見其他登記事項,136.26,0,0,0,無,有,26600000,坡道機械,52.72,3100000,,45.26,0.0,5.75,1,台北市,104,2017,9,23,41.21865,645338.9424447429,2016,4,11,1,1,25.048218,121.539741,104099.0,臺北市中山區長安東路二段１６６號十樓之３,0.0883262105906248,1,0.6108416411544189,1,0.0756028651160262,1,0.5467135956776803,1,1.7682194004121348,0,0.6289382344301867,1,長安東路二段
