土地位置建物門牌,編號,latitude,longitude
臺北市南港區八德路四段９２３號五樓,RPPOMLNKKHNFFDA47CA,25.051324,121.581649
臺北市松山區南京東路四段２３號四樓之７,RPUOMLQLKHNFFDA38CA,25.05191,121.55055
臺北市信義區忠孝東路五段２３６巷２１號十一樓,RPPNMLSJKHNFFDA77CA,25.038825,121.572419
臺北市松山區健康路325巷19弄18號4樓,RPVQMLQJKHNFFDA48CA,25.056064,121.566477
臺北市大安區忠孝東路三段８６號十一樓,RPUPMLTJKHNFFFA78CA,25.041691,121.535932
臺北市大安區基隆路二段132巷27號,RPROMLSJKHNFFFA28CA,25.027945,121.555612
臺北市中正區中華路二段３９巷２號４樓之３,RPPNMLOLKHNFFAA37DA,25.034925,121.50697
臺北市文山區興隆路二段２０３巷５２號,RPOOMLTJKHNFFAA67DA,25.0024062,121.5477272
臺北市大安區仁愛路四段６２號十一樓之５,RPPPMLMJLHNFFFA67CA,25.037606,121.547648
臺北市大安區敦化南路一段１９０巷４７號六樓,RPQNMLLLKHNFFFA57CA,25.042749,121.54687
臺北市士林區中山北路六段419巷37號,RPVOMLRJKHNFFEA48CA,25.114995,121.526299
臺北市北投區尊賢街２３９巷２２號三樓,RPPOMLRJKHNFFEA87CA,25.116006,121.506785
臺北市士林區中正路４９９號十一樓,RPRNMLRJKHNFFEA97CA,25.114995,121.526299
臺北市士林區中正路458之1號8樓,RPTPMLQJKHNFFEA28CA,25.09284,121.51865
臺北市北投區承德路七段168巷12號,RPUPMLQJKHNFFEA38CA,25.113947,121.508753
臺北市北投區大度路三段301巷28弄26號,RPVPMLQJKHNFFEA48CA,25.1222241,121.4655602
臺北市北投區大同街230號9樓之2,RPWPMLQJKHNFFEA58CA,25.139594,121.499624
臺北市士林區文林路643巷30號4樓,RPXPMLQJKHNFFEA68CA,25.099848,121.521619
臺北市士林區雨農路６８號八樓,RPOQMLQJKHNFFEA87CA,25.099645,121.533268
臺北市士林區福港街２６７號二樓,RPVOMLOKKHNFFEA28CA,25.083489,121.517791
臺北市北投區致遠一路一段４６巷２１弄１３號三樓,RPXOMLRLKHNFFEA88CA,25.109951,121.516584
臺北市北投區北投路一段９３巷５號四樓,RPPPMLMJLHNFFEA57CA,25.129576,121.499629
臺北市內湖區港華街９９號４樓,RPXOMLRJKHNFFCA58DA,25.083533,121.573727
臺北市內湖區成功路四段30巷3號,RPPOMLRJKHNFFCA77DA,25.0818871,121.5914638
臺北市中山區民權東路一段４８號１１樓之６,RPTNMLKKKHNFFCA47DA,25.0625214,121.5241012
臺北市中山區中山北路二段５９巷３弄１５號３樓,RPUNMLKKKHNFFCA57DA,25.056252,121.523726
臺北市松山區八德路三段１６４號６樓之８,RPQNMLMKKHNFFDA47DA,25.047854,121.555348
