土地位置建物門牌,編號,latitude,longitude
臺北市中山區建國北路二段６４巷１３號,RPWOMLLLNHNFFCA38DA,25.057386,121.524161
臺北市中山區興安街７８之１３號三樓,RPQPMLMLOHNFFCA97CA,25.055992,121.541375
臺北市中山區新生北路二段１３７巷５號,RPRQMLRKPHNFFCA68CA,25.061336,121.528054
臺北市中山區農安街７７巷９弄３５號等2戶,RPXRMLSLRHNFFCA17CA,25.066266,121.529504
臺北市中山區松江路４０２巷８弄３號二樓,RPUPMLTKRHNFFCA66CA,25.06375,121.532708
臺北市中山區松江路９７巷１２號２樓,RPQRMLQKNHOFFCA58DA,25.049371,121.542637
臺北市中山區林森北路１３３巷４號四樓,SPTOMLSKKIOFFCA58CA,25.050971,121.525462
臺北市中山區長春路４８號,RPRNMLMKKHPFFCA57CA,25.054816,121.525777
臺北市中山區八德路二段３１２巷７號三樓,RPPQMLOLLHPFFCA08CA,25.046878,121.542933
臺北市中山區雙城街３之４號三樓,RPSNMLSKMHPFFCA48CA,25.063493,121.524476
臺北市中山區長春路182號4樓,RPVNMLKMLHPFFCA08CA,25.054676,121.534523
臺北市中山區長安東路一段５２巷２號,RPQRMLMLMHPFFCA18CA,25.048082,121.52796
臺北市中山區建國北路一段32號,RPPSMLNLMHPFFCA28CA,25.047274,121.536294
臺北市中山區林森北路４８３號十三樓,RPWPMLLKNHPFFCA48CA,25.047274,121.536294
臺北市中山區林森北路５３８號十樓之１,RPTQMLLKNHPFFCA28CA,25.063898,121.525282
臺北市中山區林森北路５３６號二樓之６,RPWQMLLKNHPFFCA58CA,25.063898,121.525544
臺北市中山區長春路210號4樓之8,RPQPMLMKNHPFFCA97CA,25.05463,121.53747
臺北市中山區松江路38巷2號2樓,RPVPMLMKNHPFFCA48CA,25.047501,121.532527
臺北市中山區新生北路二段96號八樓之19,RPROMLTKNHPFFCA68CA,25.059136,121.527228
臺北市中山區林森北路５８５號五樓之３,RPSOMLSLNHPFFCA78CA,25.065873,121.525837
臺北市中山區長春路１９５號８樓之１,RPXPMLSLNHPFFCA86DA,25.054914,121.53812
臺北市中山區錦州街１５９號１０樓之９,RPSOMLNKNHPFFCA28DA,25.060457,121.529949
臺北市中山區吉林路４０７巷１號五樓,RPVOMLTKNHPFFCA09CA,25.0661385,121.5305943
臺北市中山區農安街247號5樓,RPQNMLOKNHPFFCA97CA,25.064786,121.534871
臺北市中山區南京東路一段１３２巷１８號六樓,RPPOMLOKNHPFFCA97CA,25.05098,121.526923
臺北市中山區長春路380號16樓,RPWPMLMKNHPFFCA58CA,25.054397,121.543216
臺北市中山區林森北路４８３號二樓之２,RPWRMLNKNHPFFCA88CA,25.0611441,121.5257413
臺北市中山區新生北路三段５６巷１號四樓之４,RPSSMLNKNHPFFCA58CA,25.065404,121.527262
臺北市中山區松江路25巷5號2樓之6,RPUNMLOKNHPFFCA38CA,25.0473794,121.5337752
臺北市中山區雙城街3巷2號15樓之4,RPVNMLOKNHPFFCA48CA,25.063223,121.524594
臺北市中山區中山北路一段１２１巷３３號十樓之１,RPURMLOKNHPFFCA78CA,25.050893,121.52466
臺北市中山區四平街１３８號九樓之２,RPPTMLKLNHPFFCA18CA,25.053407,121.536294
臺北市中山區林森北路２８９號五樓,RPORMLKLNHPFFCA87CA,25.055605,121.52558
臺北市中山區民族東路５３８號三樓,RPXOMLKLNHPFFCA48CA,25.066995,121.543231
臺北市中山區建國北路一段7號6樓,RPUOMLPLNHPFFCA68CA,25.0464642,121.5370622
臺北市中山區伊通街１９巷２５號二樓之１,RPWPMLMKOHPFFCA68CA,25.048984,121.535797
臺北市中山區伊通街１９巷２５號三樓之１,SPWPMLMKOHPFFCA78CA,25.048984,121.535797
臺北市中山區伊通街１９巷２７號五樓之１,TPWPMLMKOHPFFCA88CA,25.048958,121.535788
臺北市中山區南京東路一段１３２巷１８號８樓之２,RPORMLQLNHPFFCA58DA,25.05098,121.526923
臺北市中山區中山北路二段１１８號十二樓之１,RPQPMLQLNHPFFCA48CA,25.061013,121.522733
臺北市中山區雙城街19巷8號3樓之1,RPQSMLOKNHPFFCA48CA,25.065328,121.524851
臺北市中山區農安街28之1號七樓之6,RPRSMLOKNHPFFCA58CA,25.0648153,121.5263737
臺北市中山區民生西路16號12樓之12,RPSSMLOKNHPFFCA68CA,25.057703,121.52215
臺北市中山區德惠街105巷6號4樓,RPPNMLPKNHPFFCA97CA,25.066904,121.529357
臺北市中山區松江路25巷5號3樓之5,RPPOMLPKNHPFFCA08CA,25.0473794,121.5337752
臺北市中山區敬業三路１６２巷６８號三樓,RPOOMLSKNHPFFCA28CA,25.0775677,121.5579985
臺北市中山區中山北路二段７７巷３７號十二樓之４,RPRPMLKLNHPFFCA97CA,25.057559,121.524747
臺北市中山區長安東路二段１８１號五樓之１,RPXNMLLLNHPFFCA48CA,25.048388,121.542645
臺北市中山區中山北路二段62巷3號六樓,RPQRMLSLNHPFFCA88CA,25.056769,121.522291
